MGE	MAG	Total Signal	Signal rate	Interacting Contigs
MetaTOR_MGE_00349       	metator_00002_00003     	0.556545	81.44	110
MetaTOR_MGE_00350       	metator_00007_00000     	0.838334	100.00	10
MetaTOR_MGE_00351       	metator_00007_00000     	0.661022	99.63	23
MetaTOR_MGE_00353       	metator_00064_00003     	0.122950	96.36	23
MetaTOR_MGE_00355       	metator_00007_00000     	1.076760	100.00	13
MetaTOR_MGE_00357       	metator_00014_00000     	0.808220	100.00	42
MetaTOR_MGE_00358       	metator_00007_00000     	1.202828	99.98	26
MetaTOR_MGE_00360       	metator_00022_00000     	0.296296	99.80	75
MetaTOR_MGE_00361       	metator_00008_00000     	0.152906	96.93	27
MetaTOR_MGE_00362       	metator_00024_00000     	0.164797	90.12	19
MetaTOR_MGE_00363       	metator_00007_00000     	1.172632	99.56	41
MetaTOR_MGE_00365       	metator_00005_00002     	0.171877	91.57	35
MetaTOR_MGE_00366       	metator_00024_00000     	0.256058	94.51	21
MetaTOR_MGE_00049       	metator_00096_00000     	0.405372	95.77	36
MetaTOR_MGE_00367       	metator_00028_00004     	0.042008	84.10	32
MetaTOR_MGE_00368       	metator_00002_00001     	0.130333	92.30	34
MetaTOR_MGE_00369       	metator_00022_00000     	0.177776	100.00	33
MetaTOR_MGE_00031       	metator_00002_00004     	0.122185	16.50	54
MetaTOR_MGE_00031       	metator_00002_00003     	0.560723	75.73	103
MetaTOR_MGE_00372       	metator_00001_00000     	0.048166	98.90	60
MetaTOR_MGE_00373       	metator_00007_00000     	0.627110	99.25	9
MetaTOR_MGE_00099       	metator_00025_00000     	0.798249	98.43	135
MetaTOR_MGE_00096       	metator_00033_00000     	0.636264	99.39	72
MetaTOR_MGE_00375       	metator_00005_00002     	0.020247	16.32	15
MetaTOR_MGE_00375       	metator_00005_00003     	0.094586	76.23	25
MetaTOR_MGE_00376       	metator_00033_00000     	0.165335	99.49	35
MetaTOR_MGE_00377       	metator_00022_00000     	0.283040	99.72	50
MetaTOR_MGE_00378       	metator_00018_00003     	0.361258	96.96	52
MetaTOR_MGE_00379       	metator_00007_00000     	1.247550	99.16	76
MetaTOR_MGE_00380       	metator_00022_00000     	0.195162	100.00	25
MetaTOR_MGE_00382       	metator_00096_00000     	0.086402	97.98	15
MetaTOR_MGE_00383       	metator_00002_00004     	0.044549	22.66	40
MetaTOR_MGE_00383       	metator_00002_00003     	0.132422	67.35	66
MetaTOR_MGE_00386       	metator_00030_00000     	0.153948	99.31	26
MetaTOR_MGE_00387       	metator_00022_00000     	0.221498	99.12	66
MetaTOR_MGE_00388       	metator_00001_00000     	0.276369	99.21	121
MetaTOR_MGE_00389       	metator_00052_00000     	0.219515	99.13	62
MetaTOR_MGE_00390       	metator_00016_00000     	0.285521	99.66	19
MetaTOR_MGE_00391       	metator_00033_00000     	0.168889	99.64	40
MetaTOR_MGE_00392       	metator_00022_00000     	0.283324	99.79	91
MetaTOR_MGE_00393       	metator_00001_00000     	0.327996	99.88	83
MetaTOR_MGE_00394       	metator_00007_00000     	0.555424	99.65	21
MetaTOR_MGE_00395       	metator_00027_00005     	0.158474	99.19	64
MetaTOR_MGE_00396       	metator_00033_00000     	0.415835	99.75	71
MetaTOR_MGE_00398       	metator_00024_00000     	0.026368	96.81	10
MetaTOR_MGE_00401       	metator_00047_00000     	0.063502	100.00	16
MetaTOR_MGE_00402       	metator_00061_00000     	0.207890	98.72	59
MetaTOR_MGE_00403       	metator_00028_00001     	0.156718	24.98	10
MetaTOR_MGE_00403       	metator_00028_00002     	0.123936	19.76	21
MetaTOR_MGE_00403       	metator_00028_00003     	0.326966	52.12	11
MetaTOR_MGE_00405       	metator_00022_00000     	0.055990	98.97	12
MetaTOR_MGE_00406       	metator_00007_00000     	0.687322	99.52	18
MetaTOR_MGE_00409       	metator_00033_00000     	0.436245	99.27	76
MetaTOR_MGE_00410       	metator_00022_00000     	0.072444	100.00	12
